layer,head,accuracy
7,27,0.6958970233306516
7,28,0.8004827031375704
7,29,0.82864038616251
7,30,0.7787610619469026
7,31,0.7610619469026548
8,0,0.7795655671761866
8,1,0.7980691874497184
8,2,0.7361222847948512
8,3,0.7618664521319388
8,4,0.833467417538214
8,5,0.8407079646017699
8,6,0.8712791633145616
8,7,0.8415124698310539
8,8,0.7964601769911505
8,9,0.7272727272727273
8,10,0.7715205148833467
8,11,0.7835880933226066
8,12,0.7248592115848753
8,13,0.8053097345132744
8,14,0.7377312952534192
8,15,0.7835880933226066
8,16,0.7715205148833467
8,17,0.7401448109412712
8,18,0.7152051488334674
8,19,0.7200321802091714
8,20,0.6765888978278359
8,21,0.6757843925985519
8,22,0.6983105390185036
8,23,0.8101367658889783
8,24,0.7650844730490748
8,25,0.7827835880933226
8,26,0.7562349155269509
8,27,0.7570394207562349
8,28,0.6975060337892196
8,29,0.6637168141592921
8,30,0.7731295253419147
8,31,0.7119871279163315
9,0,0.7811745776347546
9,1,0.7570394207562349
9,2,0.7473853580048271
9,3,0.7747385358004827
9,4,0.8012872083668544
9,5,0.8455349959774738
9,6,0.831053901850362
9,7,0.831053901850362
9,8,0.7127916331456154
9,9,0.6950925181013676
9,10,0.8616251005631537
9,11,0.8382944489139179
9,12,0.830249396621078
9,13,0.8197908286403862
9,14,0.8141592920353983
9,15,0.7626709573612228
9,16,0.7827835880933226
9,17,0.7409493161705552
9,18,0.8101367658889783
9,19,0.7546259050683829
9,20,0.835076427996782
9,21,0.7642799678197908
9,22,0.8157683024939663
9,23,0.7819790828640386
9,24,0.8519710378117458
9,25,0.8487530168946098
9,26,0.8761061946902655
9,27,0.8656476267095736
9,28,0.8479485116653258
9,29,0.8045052292839904
9,30,0.7988736926790024
9,31,0.8117457763475463
10,0,0.8696701528559936
10,1,0.8640386162510056
10,2,0.8576025744167337
10,3,0.8551890587288817
10,4,0.8624296057924377
10,5,0.8423169750603379
10,6,0.7642799678197908
10,7,0.8109412711182623
10,8,0.8487530168946098
10,9,0.8077232502011263
10,10,0.8728881737731295
10,11,0.8632341110217217
10,12,0.7666934835076428
10,13,0.8487530168946098
10,14,0.7900241351568785
10,15,0.826226870474658
10,16,0.825422365245374
10,17,0.8197908286403862
10,18,0.8020917135961384
