layer,head,accuracy
3,1,0.5905068382944489
3,2,0.582461786001609
3,3,0.6009654062751408
3,4,0.5768302493966211
3,5,0.5502815768302494
3,6,0.581657280772325
3,7,0.580852775543041
3,8,0.583266291230893
3,9,0.5583266291230893
3,10,0.580048270313757
3,11,0.5655671761866452
3,12,0.5526950925181013
3,13,0.5760257441673371
3,14,0.5663716814159292
3,15,0.5430410297666934
3,16,0.6210780370072405
3,17,0.5776347546259051
3,18,0.5679806918744972
3,19,0.6122284794851166
3,20,0.5784392598551891
3,21,0.6017699115044248
3,22,0.5792437650844731
3,23,0.581657280772325
3,24,0.5205148833467418
3,25,0.5551086082059533
3,26,0.5583266291230893
3,27,0.5366049879324215
3,28,0.6122284794851166
3,29,0.6395816572807723
3,30,0.6637168141592921
3,31,0.6323411102172164
4,0,0.6234915526950925
4,1,0.6508447304907482
4,2,0.670957361222848
4,3,0.6460176991150443
4,4,0.6146419951729686
4,5,0.6540627514078842
4,6,0.589702333065165
4,7,0.6371681415929203
4,8,0.6339501206757844
4,9,0.672566371681416
4,10,0.6170555108608206
4,11,0.6242960579243765
4,12,0.6580852775543041
4,13,0.7385358004827032
4,14,0.667739340305712
4,15,0.6830249396621078
4,16,0.5333869670152857
4,17,0.6452131938857603
4,18,0.6870474658085277
4,19,0.580852775543041
4,20,0.5663716814159292
4,21,0.585679806918745
4,22,0.5905068382944489
4,23,0.6186645213193885
4,24,0.6604987932421561
4,25,0.6339501206757844
4,26,0.6596942880128721
4,27,0.6186645213193885
4,28,0.6275140788415124
4,29,0.5671761866452132
4,30,0.6009654062751408
4,31,0.6492357200321802
5,0,0.6355591311343524
5,1,0.6379726468222043
5,2,0.6894609814963797
5,3,0.6894609814963797
5,4,0.6870474658085277
5,5,0.584070796460177
5,6,0.6975060337892196
5,7,0.6484312148028962
5,8,0.586484312148029
5,9,0.6098149637972646
5,10,0.6242960579243765
5,11,0.5752212389380531
5,12,0.6870474658085277
5,13,0.7264682220434433
5,14,0.7353177795655672
5,15,0.7063555913113435
5,16,0.6781979082864039
5,17,0.6580852775543041
5,18,0.6806114239742558
5,19,0.6460176991150443
5,20,0.7031375703942075
5,21,0.6363636363636364
5,22,0.6138374899436846
5,23,0.6049879324215608
5,24,0.6516492357200322
5,25,0.6999195494770716
5,26,0.668543845534996
5,27,0.6878519710378117
5,28,0.7401448109412712
5,29,0.7232502011263073
5,30,0.7296862429605793
5,31,0.7361222847948512
6,0,0.7200321802091714
6,1,0.6798069187449718
6,2,0.6942880128720836
6,3,0.6918744971842317
6,4,0.6790024135156878
6,5,0.6604987932421561
6,6,0.6122284794851166
6,7,0.66532582461786
6,8,0.7586484312148029
6,9,0.588897827835881
6,10,0.7554304102976669
6,11,0.7562349155269509
6,12,0.6991150442477876
6,13,0.7707160096540627
