layer,head,accuracy
14,9,0.66934835076428
14,10,0.6894609814963797
14,11,0.6958970233306516
14,12,0.6596942880128721
14,13,0.6090104585679806
14,14,0.6210780370072405
14,15,0.6122284794851166
15,0,0.6878519710378117
15,1,0.6958970233306516
15,2,0.672566371681416
15,3,0.584875301689461
15,4,0.6645213193885761
15,5,0.6065969428801288
15,6,0.6347546259050684
15,7,0.6604987932421561
15,8,0.6291230893000804
15,9,0.6572807723250201
15,10,0.6387771520514883
15,11,0.5945293644408689
15,12,0.6645213193885761
15,13,0.5583266291230893
15,14,0.6251005631536605
15,15,0.6604987932421561
16,0,0.6508447304907482
16,1,0.6878519710378117
16,2,0.7144006436041834
16,3,0.6781979082864039
16,4,0.6838294448913917
16,5,0.6918744971842317
16,6,0.6436041834271923
16,7,0.6621078037007241
16,8,0.6838294448913917
16,9,0.6371681415929203
16,10,0.6781979082864039
16,11,0.668543845534996
16,12,0.6540627514078842
16,13,0.6588897827835881
16,14,0.674175382139984
16,15,0.5913113435237329
17,0,0.6910699919549477
17,1,0.6894609814963797
17,2,0.7095736122284795
17,3,0.7007240547063556
17,4,0.7047465808527755
17,5,0.6854384553499597
17,6,0.6218825422365245
17,7,0.6733708769107
17,8,0.6524537409493162
17,9,0.6524537409493162
17,10,0.7361222847948512
17,11,0.7345132743362832
17,12,0.7135961383748994
17,13,0.6798069187449718
17,14,0.6508447304907482
17,15,0.6604987932421561
18,0,0.7135961383748994
18,1,0.7071600965406275
18,2,0.6645213193885761
18,3,0.6983105390185036
18,4,0.668543845534996
18,5,0.6781979082864039
18,6,0.6508447304907482
18,7,0.6757843925985519
18,8,0.6838294448913917
18,9,0.6588897827835881
18,10,0.6950925181013676
18,11,0.6918744971842317
18,12,0.6436041834271923
18,13,0.7103781174577635
18,14,0.6991150442477876
18,15,0.6822204344328238
19,0,0.7200321802091714
19,1,0.7200321802091714
19,2,0.666934835076428
19,3,0.6991150442477876
19,4,0.6983105390185036
19,5,0.666934835076428
19,6,0.7023330651649236
19,7,0.6902654867256637
19,8,0.6798069187449718
19,9,0.7200321802091714
19,10,0.6862429605792437
19,11,0.6444086886564763
19,12,0.7015285599356396
19,13,0.6862429605792437
19,14,0.670957361222848
19,15,0.6629123089300081
20,0,0.7393403057119872
20,1,0.7111826226870475
20,2,0.6967015285599356
20,3,0.6580852775543041
20,4,0.6790024135156878
20,5,0.7160096540627514
20,6,0.7216411906677394
20,7,0.7192276749798874
20,8,0.6572807723250201
20,9,0.66934835076428
20,10,0.6991150442477876
20,11,0.6942880128720836
20,12,0.6918744971842317
20,13,0.6621078037007241
20,14,0.6902654867256637
20,15,0.66532582461786
21,0,0.7208366854384554
21,1,0.7184231697506034
21,2,0.6958970233306516
21,3,0.6637168141592921
21,4,0.6814159292035398
21,5,0.7144006436041834
21,6,0.7152051488334674
21,7,0.6773934030571199
21,8,0.7192276749798874
