model,mode,roc_auc,accuracy,precision,recall,f1,selected_heads
mistral-7b-v03,with_user_question,0.6764349609840171,0.6136,0.6180981595092024,0.6326530612244898,0.6252909231962762,"['L11, H3', 'L11, H10', 'L11, H14', 'L11, H11', 'L17, H31', 'L13, H29', 'L13, H8', 'L18, H20', 'L15, H12', 'L11, H0']"
mistral-7b-v03,without_user_question,0.7545706449225442,0.6624,0.6825127334465195,0.631083202511774,0.6557911908646004,"['L15, H12', 'L15, H14', 'L14, H5', 'L14, H7', 'L11, H19', 'L11, H10', 'L14, H4', 'L11, H3', 'L15, H15', 'L13, H7']"
gemma-2-9b,with_user_question,0.8100291691529166,0.7192,0.7291666666666666,0.7142857142857143,0.7216494845360825,"['L23, H0', 'L23, H6', 'L22, H14', 'L24, H11', 'L27, H13', 'L20, H0', 'L25, H6', 'L24, H8', 'L17, H10', 'L23, H5']"
gemma-2-9b,without_user_question,0.8175007234666988,0.7264,0.7258805513016845,0.7441130298273155,0.7348837209302326,"['L24, H13', 'L26, H11', 'L24, H11', 'L24, H3', 'L24, H10', 'L24, H8', 'L23, H1', 'L24, H9', 'L21, H8', 'L20, H6']"
llama-3.1-8b,with_user_question,0.9682955124577124,0.9104,0.9007633587786259,0.9262166405023547,0.913312693498452,"['L14, H28', 'L14, H6', 'L13, H7', 'L12, H4', 'L13, H22', 'L16, H13', 'L16, H24', 'L16, H16', 'L12, H28', 'L20, H9']"
llama-3.1-8b,without_user_question,0.96120681928186,0.8984,0.8911042944785276,0.9120879120879121,0.9014740108611327,"['L12, H13', 'L13, H28', 'L15, H9', 'L14, H8', 'L11, H10', 'L12, H30', 'L12, H15', 'L12, H28', 'L15, H4', 'L13, H29']"
