layer,head,accuracy
33,11,0.6291230893000804
33,12,0.6596942880128721
33,13,0.6395816572807723
33,14,0.5333869670152857
33,15,0.5567176186645213
34,0,0.6074014481094127
34,1,0.6210780370072405
34,2,0.584070796460177
34,3,0.5993563958165729
34,4,0.6516492357200322
34,5,0.668543845534996
34,6,0.6114239742558326
34,7,0.6122284794851166
34,8,0.6291230893000804
34,9,0.6009654062751408
34,10,0.6363636363636364
34,11,0.6613032984714401
34,12,0.582461786001609
34,13,0.6130329847144006
34,14,0.6057924376508448
34,15,0.5776347546259051
35,0,0.5575221238938053
35,1,0.5913113435237329
35,2,0.6379726468222043
35,3,0.6226870474658085
35,4,0.6082059533386966
35,5,0.6074014481094127
35,6,0.6202735317779565
35,7,0.5913113435237329
35,8,0.6363636363636364
35,9,0.6395816572807723
35,10,0.6508447304907482
35,11,0.6178600160901045
35,12,0.6387771520514883
35,13,0.6130329847144006
35,14,0.5583266291230893
35,15,0.5993563958165729
36,0,0.6138374899436846
36,1,0.6130329847144006
36,2,0.6130329847144006
36,3,0.6082059533386966
36,4,0.6138374899436846
36,5,0.5760257441673371
36,6,0.5776347546259051
36,7,0.585679806918745
36,8,0.6500402252614642
36,9,0.6572807723250201
36,10,0.6363636363636364
36,11,0.6355591311343524
36,12,0.5752212389380531
36,13,0.587288817377313
36,14,0.6259050683829445
36,15,0.6242960579243765
37,0,0.5591311343523733
37,1,0.5591311343523733
37,2,0.6210780370072405
37,3,0.6106194690265486
37,4,0.6419951729686243
37,5,0.6500402252614642
37,6,0.5977473853580049
37,7,0.6041834271922768
37,8,0.6122284794851166
37,9,0.584875301689461
37,10,0.583266291230893
37,11,0.6154465004022526
37,12,0.5366049879324215
37,13,0.5671761866452132
37,14,0.6154465004022526
37,15,0.6057924376508448
38,0,0.6411906677393403
38,1,0.6476267095736122
38,2,0.6025744167337088
38,3,0.6331456154465004
38,4,0.6001609010458568
38,5,0.6122284794851166
38,6,0.6283185840707964
38,7,0.5945293644408689
38,8,0.6476267095736122
38,9,0.6291230893000804
38,10,0.5993563958165729
38,11,0.6082059533386966
38,12,0.588897827835881
38,13,0.6009654062751408
38,14,0.6790024135156878
38,15,0.670152855993564
39,0,0.5921158487530169
39,1,0.5921158487530169
39,2,0.6146419951729686
39,3,0.589702333065165
39,4,0.6548672566371682
39,5,0.6411906677393403
39,6,0.6001609010458568
39,7,0.5913113435237329
39,8,0.584070796460177
39,9,0.5969428801287209
39,10,0.6572807723250201
39,11,0.6419951729686243
39,12,0.584070796460177
39,13,0.5703942075623492
39,14,0.6202735317779565
39,15,0.6403861625100563
40,0,0.6419951729686243
40,1,0.6251005631536605
40,2,0.6090104585679806
40,3,0.6049879324215608
40,4,0.6194690265486725
40,5,0.6251005631536605
40,6,0.6170555108608206
40,7,0.6065969428801288
40,8,0.6355591311343524
40,9,0.6436041834271923
40,10,0.6025744167337088
40,11,0.5953338696701529
40,12,0.6476267095736122
40,13,0.666934835076428
40,14,0.5687851971037812
40,15,0.5921158487530169
41,0,0.6395816572807723
41,1,0.6242960579243765
41,2,0.6468222043443282
41,3,0.6436041834271923
41,4,0.6516492357200322
41,5,0.6436041834271923
41,6,0.6387771520514883
41,7,0.6403861625100563
41,8,0.5929203539823009
41,9,0.6098149637972646
41,10,0.582461786001609
41,11,0.5784392598551891
41,12,0.6114239742558326
41,13,0.6355591311343524
41,14,0.6178600160901045
41,15,0.6347546259050684
