model,mode,lies_detection_rate,deception_without_lies_detection_rate,honest_detection_rate
llama-3.1-8b,with_user_question,0.8350515463917526,0.7422680412371134,0.07216494845360821
llama-3.1-8b,without_user_question,0.8350515463917526,0.5360824742268041,0.22680412371134018
mistral-7b-v03,with_user_question,0.6494845360824743,0.8247422680412371,0.18556701030927836
mistral-7b-v03,without_user_question,0.7938144329896908,0.5670103092783505,0.27835051546391754
gemma-2-9b,with_user_question,0.8041237113402062,0.6391752577319587,0.05154639175257736
gemma-2-9b,without_user_question,0.8350515463917526,0.4742268041237113,0.17525773195876293
